Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,65.610001,80.309998,61.189999,80.250000,71.535973,1278200
2020-03-24,87.669998,105.230003,87.269997,94.919998,84.613014,1214200
2020-03-25,94.059998,111.989998,91.529999,92.330002,82.304260,1374700
2020-03-26,93.629997,95.489998,82.800003,85.309998,76.046532,1089400
2020-03-27,81.510002,81.680000,70.320000,73.169998,65.224747,1675100
2020-03-30,73.169998,77.910004,69.510002,76.599998,68.282303,856600
2020-03-31,77.300003,86.360001,76.660004,83.220001,74.183464,1174300
2020-04-01,78.860001,80.000000,71.279999,73.360001,65.394135,785100
2020-04-02,71.889999,73.360001,67.320000,70.339996,62.702042,979600
2020-04-03,70.419998,72.470001,67.660004,69.940002,62.345509,629500
2020-04-06,74.000000,80.010002,72.739998,77.820000,69.369843,1168800
2020-04-07,84.889999,88.000000,75.389999,77.169998,68.790405,1198300
2020-04-08,79.980003,82.930000,76.180000,81.900002,73.006805,751800
2020-04-09,86.160004,92.599998,84.099998,88.709999,79.077332,775900
2020-04-13,91.769997,92.379997,85.000000,87.160004,77.695648,515900
2020-04-14,89.750000,91.000000,87.089996,87.730003,78.203758,601500
2020-04-15,83.970001,89.410004,83.050003,88.489998,78.881226,808300
2020-04-16,87.180000,90.989998,85.849998,87.400002,79.071198,958500
2020-04-17,92.870003,93.839996,87.559998,91.680000,82.943352,912800
2020-04-20,88.779999,92.620003,85.610001,86.470001,78.229828,592500
2020-04-21,84.800003,85.500000,80.730003,82.080002,74.258179,855100
2020-04-22,84.459999,91.500000,84.040001,90.400002,81.785324,1426700
2020-04-23,93.290001,93.540001,85.510002,88.360001,79.939728,721900
2020-04-24,88.570000,89.980003,86.959999,88.589996,80.147812,570700
2020-04-27,90.129997,96.260002,89.510002,94.620003,85.603180,688300
2020-04-28,99.389999,102.080002,94.930000,97.129997,87.873993,905600
2020-04-29,101.989998,105.419998,99.820000,101.870003,92.162292,1181300
2020-04-30,100.050003,100.849998,96.589996,97.400002,88.118271,1296000
2020-05-01,93.820000,95.599998,91.269997,93.730003,84.798004,509100
2020-05-04,90.769997,92.500000,87.830002,91.099998,82.418617,582700
2020-05-05,93.000000,94.129997,86.709999,86.889999,78.609825,745900
2020-05-06,87.470001,89.059998,83.500000,83.650002,75.678574,585900
2020-05-07,85.089996,88.849998,85.040001,87.059998,78.763611,520700
2020-05-08,88.900002,95.680000,88.570000,94.900002,85.856491,641200
2020-05-11,92.440002,94.620003,91.150002,92.650002,83.820923,573900
2020-05-12,93.180000,94.419998,86.970001,87.349998,79.025970,669600
2020-05-13,87.000000,87.089996,81.599998,84.300003,76.266632,609300
2020-05-14,82.029999,84.360001,77.050003,83.610001,75.642372,854000
2020-05-15,82.809998,87.620003,81.370003,87.449997,79.116440,1074500
2020-05-18,93.290001,95.720001,91.449997,94.870003,85.829361,737100
2020-05-19,95.050003,99.449997,93.000000,96.690002,87.475929,709200
2020-05-20,98.139999,99.959999,97.510002,98.589996,89.194855,515000
2020-05-21,99.000000,102.000000,98.599998,100.610001,91.022362,485000
2020-05-22,101.160004,102.750000,98.669998,102.500000,92.732246,501000
2020-05-26,108.750000,108.949997,106.070000,108.279999,97.961449,722200
2020-05-27,111.430000,114.169998,108.989998,112.949997,102.186432,761600
2020-05-28,113.000000,114.059998,107.730003,108.330002,98.006699,632500
2020-05-29,105.739998,107.489998,103.000000,107.129997,96.921036,675900
2020-06-01,107.570000,110.580002,107.529999,107.690002,97.427689,937000
2020-06-02,105.220001,109.410004,103.260002,107.029999,96.830574,1203900
2020-06-03,112.230003,119.910004,111.440002,118.800003,107.478958,1093300
2020-06-04,119.419998,126.919998,119.269997,125.580002,113.612854,1196000
2020-06-05,132.020004,136.759995,127.489998,129.619995,117.267845,1315800
2020-06-08,133.779999,134.949997,128.809998,132.839996,120.180992,568800
